"species","no_countries","no_countries_threatened","percentage_threatened"
"Anthemis bourgei",1,1,1
"Anthemis funkii",1,1,1
"Anthemis glaberrima",1,1,1
"Anthemis ismelia",1,1,1
"Anthemis jordanovii",1,1,1
"Anthemis macedonica",3,2,0.666666666666667
"Anthemis muricata",1,1,1
"Anthemis orbelica",3,1,0.333333333333333
"Anthemis pignattiorum",1,1,1
"Anthemis regis-borisii",1,1,1
"Anthemis rumelica",1,1,1
"Anthemis samariensis",1,1,1
"Anthemis virescens",1,1,1
"Anthriscus nitida",15,1,0.0666666666666667
"Anthyllis aurea",4,1,0.25
"Anthyllis rupestris",1,1,1
"Antirrhinum charidemi",1,1,1
"Antirrhinum latifolium",3,1,0.333333333333333
"Antirrhinum lopesianum",2,2,1
"Antirrhinum microphyllum",1,1,1
"Antirrhinum pertegasii",1,1,1
"Antirrhinum rothmaleri",1,1,1
"Antirrhinum valentinum",1,1,1
"Aposeris foetida",13,1,0.0769230769230769
"Aquilegia barbaricina",1,1,1
"Aquilegia champagnatii",1,1,1
"Aquilegia cremnophila",1,1,1
"Aquilegia dinarica",2,2,1
"Aquilegia einseleana",5,2,0.4
"Aquilegia grata",1,1,1
"Aquilegia kitaibelii",1,1,1
"Aquilegia nigricans",6,1,0.166666666666667
"Aquilegia nugorensis",1,1,1
"Aquilegia nuragica",1,1,1
"Aquilegia ottonis",2,1,0.5
"Aquilegia transsilvanica",2,1,0.5
"Arabidopsis croatica",1,1,1
"Arabis beirana",1,1,1
"Arabis bryoides",3,2,0.666666666666667
"Arabis collina",10,3,0.3
"Arabis juressi",2,1,0.5
"Arabis kennedyae",1,1,1
"Arabis margaritae",1,1,1
"Arabis procurrens",5,1,0.2
"Arabis scabra",4,2,0.5
"Arabis scopoliana",3,1,0.333333333333333
"Arabis serpyllifolia",4,1,0.25
"Arabis soyeri",2,1,0.5
"Arenaria aggregata",3,1,0.333333333333333
"Arenaria arcuatociliata",1,1,1
"Arenaria ciliata",13,2,0.153846153846154
"Arenaria conferta",3,1,0.333333333333333
"Arenaria cretica",3,2,0.666666666666667
"Arenaria delaguardiae",1,1,1
"Arenaria favargeri",1,1,1
"Arenaria funiculata",1,1,1
"Arenaria gothica",2,1,0.5
"Arenaria leucadia",1,1,1
"Arenaria ligericina",2,1,0.5
"Arenaria nevadensis",1,1,1
"Arenaria racemosa",1,1,1
"Arenaria tomentosa",1,1,1
"Argyranthemum callichrysum",1,1,1
"Argyranthemum coronopifolium",1,1,1
"Argyranthemum escarrei",1,1,1
"Argyranthemum filifolium",1,1,1
"Argyranthemum lemsii",1,1,1
"Argyranthemum lidii",1,1,1
"Argyranthemum maderense",1,1,1
"Argyranthemum sundingii",1,1,1
"Argyranthemum sventenii",1,1,1
"Argyranthemum webbii",1,1,1
"Argyranthemum winteri",1,1,1
"Aria busambarensis",1,1,1
"Aria cheddarensis",1,1,1
"Aria collina",4,1,0.25
"Aria cucullifera",2,1,0.5
"Aria danubialis",4,2,0.5
"Aria eminens",1,1,1
"Aria eminentiformis",1,1,1
"Aria eminentoides",1,1,1
"Aria evansii",1,1,1
"Aria graeca",10,1,0.1
"Aria greenii",1,1,1
"Aria herefordensis",1,1,1
"Aria hibernica",1,1,1
"Aria leighensis",1,1,1
"Aria × leptophylla",1,1,1
"Aria madoniensis",1,1,1
"Aria margaretae",1,1,1
"Aria obtusifolia",2,1,0.5
"Aria pontis-satanae",1,1,1
"Aria richii",1,1,1
"Aria rupicola",6,4,0.666666666666667
"Aria rupicoloides",1,1,1
"Aria saxicola",1,1,1
"Aria spectans",1,1,1
"Aria subdanubialis",2,1,0.5
"Aria thaiszii",2,1,0.5
"Aria thayensis",2,1,0.5
"Aria ulmifolia",1,1,1
"Aria vexans",1,1,1
"Aria whiteana",1,1,1
"Aria wilmottiana",1,1,1
"Aria zolyomii",2,1,0.5
"Arisarum proboscideum",2,1,0.5
"Aristolochia clusii",2,2,1
"Aristolochia merxmuelleri",2,2,1
"Aristolochia nardiana",2,1,0.5
"Aristolochia sicula",1,1,1
"Armeria alpina",8,1,0.125
"Armeria arcuata",1,1,1
"Armeria arenaria",6,2,0.333333333333333
"Armeria beirana",2,1,0.5
"Armeria belgenciensis",1,1,1
"Armeria berlengensis",1,1,1
"Armeria caballeroi",1,1,1
"Armeria colorata",1,1,1
"Armeria fontqueri",1,1,1
"Armeria gaditana",2,2,1
"Armeria helodes",1,1,1
"Armeria johnsenii",1,1,1
"Armeria macrophylla",2,2,1
"Armeria merinoi",1,1,1
"Armeria neglecta",1,1,1
"Armeria pinifolia",1,1,1
"Armeria pocutica",2,1,0.5
"Armeria pseudarmeria",1,1,1
"Armeria pubigera",2,1,0.5
"Armeria pungens",4,1,0.25
"Armeria quichiotis",1,1,1
"Armeria rothmaleri",1,1,1
"Armeria sampaioi",1,1,1
"Armeria saviana",1,1,1
"Armeria splendens",1,1,1
"Armeria velutina",2,1,0.5
"Armoracia macrocarpa",5,3,0.6
"Arrhenatherum pallens",1,1,1
"Artemisia alba",12,3,0.25
"Artemisia atrata",3,2,0.666666666666667
"Artemisia eriantha",10,3,0.3
"Artemisia granatensis",1,1,1
"Artemisia insipida",1,1,1
"Artemisia molinieri",1,1,1
"Artemisia nivalis",1,1,1
"Artemisia pancicii",3,2,0.666666666666667
"Artemisia pedemontana",5,2,0.4
"Arum nigrum",2,1,0.5
"Arum purpureospathum",1,1,1
"Arundo donaciformis",2,1,0.5
"Asparagus fallax",1,1,1
"Asparagus maritimus",7,1,0.142857142857143
"Asparagus prostratus",8,2,0.25
"Asperula baenitzii",1,1,1
"Asperula baldaccii",1,1,1
"Asperula brachyphylla",1,1,1
"Asperula chlorantha",2,1,0.5
"Asperula crassifolia",1,1,1
"Asperula hercegovina",1,1,1
"Asperula malevonensis",1,1,1
"Asperula naufraga",1,1,1
"Asperula neilreichii",4,1,0.25
"Asperula peloritana",1,1,1
"Asperula scutellaris",3,2,0.666666666666667
"Asperula suberosa",2,1,0.5
"Asperula wettsteinii",1,1,1
"Asphodelus albus",6,3,0.5
"Asphodelus bento-rainhae",2,1,0.5
"Asplenium balearicum",3,2,0.666666666666667
"Asplenium costei",2,1,0.5
"Asplenium creticum",1,1,1
"Asplenium seelosii",5,1,0.2
"Astragalus agraniotii",1,1,1
"Astragalus aquilanus",1,1,1
"Astragalus australis",12,2,0.166666666666667
"Astragalus baionensis",2,1,0.5
"Astragalus baldaccii",2,1,0.5
"Astragalus cavanillesii",1,1,1
"Astragalus devesae",1,1,1
"Astragalus drupaceus",1,1,1
"Astragalus fialae",2,1,0.5
"Astragalus gennarii",1,1,1
"Astragalus gines-lopezii",1,1,1
"Astragalus hypoglottis",6,1,0.166666666666667
"Astragalus kamarinensis",1,1,1
"Astragalus laconicus",1,1,1
"Astragalus leontinus",4,2,0.5
"Astragalus maritimus",1,1,1
"Astragalus nitidiflorus",1,1,1
"Astragalus oxyglottis",2,1,0.5
"Astragalus penduliflorus",12,6,0.5
"Astragalus peterfii",1,1,1
"Astragalus pseudopurpureus",1,1,1
"Astragalus raphaelis",1,1,1
"Astragalus roemeri",1,1,1
"Astragalus setosulus",1,1,1
"Astragalus subuliformis",2,1,0.5
"Astragalus tegulensis",1,1,1
"Astragalus thermensis",1,1,1
"Astragalus tragacantha",3,3,1
"Astragalus tremolsianus",1,1,1
"Astragalus verrucosus",1,1,1
"Astragalus vesicarius",12,4,0.333333333333333
"Astragalus wilmottianus",1,1,1
"Astrantia bavarica",4,1,0.25
"Astrantia carniolica",3,1,0.333333333333333
"Asyneuma anthericoides",4,1,0.25
"Asyneuma canescens",8,1,0.125
"Asyneuma giganteum",1,1,1
"Athamanta cortiana",1,1,1
"Athamanta densa",2,1,0.5
"Athamanta hispanica",1,1,1
"Athamanta turbith",3,2,0.666666666666667
"Atocion lerchenfeldianum",5,1,0.2
"Atractylis arbuscula",1,1,1
"Atractylis preauxiana",1,1,1
"Atriplex lanfrancoi",1,1,1
"Aubrieta columnae",3,3,1
"Aubrieta erubescens",1,1,1
"Aubrieta gracilis",2,1,0.5
"Aurinia rupestris",4,1,0.25
"Aurinia sinuata",5,1,0.2
"Avellara fistulosa",2,2,1
"Avena canariensis",1,1,1
"Balkana spergulifolia",2,1,0.5
"Barbarea balcana",4,2,0.5
"Barbarea bosniaca",1,1,1
"Barbarea longirostris",4,1,0.25
"Bellevalia brevipedicellata",1,1,1
"Bellevalia hyacinthoides",2,1,0.5
"Bellevalia sitiaca",1,1,1
"Bellevalia webbiana",1,1,1
"Bellis cordifolia",1,1,1
"Bellium artrutxense",1,1,1
"Bellium crassifolium",1,1,1
"Bencomia brachystachya",1,1,1
"Bencomia exstipulata",1,1,1
"Bencomia sphaerocarpa",1,1,1
"Berberis aetnensis",4,2,0.5
"Bethencourtia hermosae",1,1,1
"Betonica alopecuros",9,1,0.111111111111111
"Betonica bulgarica",1,1,1
"Betonica hirsuta",5,1,0.2
"Betonica scardica",4,1,0.25
"Betula klokovii",1,1,1
"Biarum mendax",2,1,0.5
"Biscutella cichoriifolia",5,1,0.2
"Biscutella divionensis",1,1,1
"Biscutella ebusitana",1,1,1
"Biscutella hozensis",1,1,1
"Biscutella incana",1,1,1
"Biscutella mollis",1,1,1
"Biscutella rotgesii",1,1,1
"Bituminaria basaltica",1,1,1
"Bonannia graeca",2,1,0.5
"Borago morisiana",1,1,1
"Borago pygmaea",3,1,0.333333333333333
"Bornmuellera baldaccii",2,1,0.5
"Bornmuellera dieckii",1,1,1
"Brassica bourgeaui",1,1,1
"Brassica incana",5,2,0.4
"Brassica macrocarpa",1,1,1
"Brassica montana",3,1,0.333333333333333
"Brassica nivalis",2,1,0.5
"Brassica repanda",2,2,1
"Brimeura duvigneaudii",1,1,1
"Brimeura fastigiata",3,1,0.333333333333333
"Bromus bromoideus",5,5,1
"Bromus cabrerensis",1,1,1
"Bromus interruptus",2,2,1
"Bromus moellendorffianus",1,1,1
"Bromus pannonicus",6,1,0.166666666666667
"Bromus pseudosecalinus",5,1,0.2
"Bubon arachnoideum",1,1,1
"Bupleurum acutifolium",2,2,1
"Bupleurum aira",1,1,1
"Bupleurum baldense",5,1,0.2
"Bupleurum capillare",1,1,1
"Bupleurum dianthifolium",1,1,1
"Bupleurum elatum",1,1,1
"Bupleurum handiense",1,1,1
"Bupleurum kakiskalae",1,1,1
"Bupleurum karglii",3,1,0.333333333333333
"Bupleurum pachnospermum",7,1,0.142857142857143
"Bupleurum ranunculoides",12,3,0.25
"Bupleurum rollii",1,1,1
"Bupleurum virgatum",4,1,0.25
"Bystropogon odoratissimus",1,1,1
"Bystropogon wildpretii",1,1,1
"Calamagrostis × baltica",10,1,0.1
"Calamagrostis varia",15,2,0.133333333333333
"Calamagrostis villosa",12,1,0.0833333333333333
"Callianthemum coriandrifolium",11,5,0.454545454545455
"Callianthemum kernerianum",1,1,1
"Campanula aizoides",1,1,1
"Campanula albanica",3,2,0.666666666666667
"Campanula asperuloides",1,1,1
"Campanula barbata",9,3,0.333333333333333
"Campanula baumgartenii",4,2,0.5
"Campanula bertolae",2,1,0.5
"Campanula bohemica",2,2,1
"Campanula cabezudoi",1,1,1
"Campanula cochleariifolia",7,1,0.142857142857143
"Campanula comosiformis",1,1,1
"Campanula crassipes",2,1,0.5
"Campanula foliosa",4,1,0.25
"Campanula fritschii",2,1,0.5
"Campanula garganica",4,1,0.25
"Campanula hawkinsiana",2,1,0.5
"Campanula herminii",2,1,0.5
"Campanula hierapetrae",1,1,1
"Campanula jaubertiana",2,1,0.5
"Campanula jordanovii",2,1,0.5
"Campanula merxmuelleri",1,1,1
"Campanula moesiaca",4,1,0.25
"Campanula orphanidea",2,1,0.5
"Campanula pangea",1,1,1
"Campanula papillosa",1,1,1
"Campanula portenschlagiana",5,1,0.2
"Campanula primulifolia",2,2,1
"Campanula reiseri",1,1,1
"Campanula romanica",1,1,1
"Campanula sabatia",1,1,1
"Campanula samothracica",1,1,1
"Campanula saxatilis",1,1,1
"Campanula serrata",4,1,0.25
"Campanula thyrsoides",7,2,0.285714285714286
"Campanula transsilvanica",2,1,0.5
"Campanula versicolor",4,1,0.25
"Campanula waldsteiniana",1,1,1
"Camphorosma annua",8,3,0.375
"Camptoloma canariense",1,1,1
"Cardamine apennina",1,1,1
"Cardamine asarifolia",4,1,0.25
"Cardamine castellana",2,1,0.5
"Cardamine enneaphyllos",9,1,0.111111111111111
"Cardamine glanduligera",7,1,0.142857142857143
"Cardamine glauca",6,1,0.166666666666667
"Cardamine granulosa",1,1,1
"Cardamine kitaibelii",4,2,0.5
"Cardamine maritima",2,1,0.5
"Cardamine silana",1,1,1
"Cardamine trifolia",10,3,0.3
"Cardamine waldsteinii",3,1,0.333333333333333
"Carduncellus dianius",1,1,1
"Carduncellus hispanicus",2,1,0.5
"Carduus bourgaei",1,1,1
"Carduus collinus",7,3,0.428571428571429
"Carduus defloratus",8,1,0.125
"Carduus fasciculiflorus",2,1,0.5
"Carduus kerneri",5,1,0.2
"Carduus lobulatus",2,2,1
"Carduus ramosissimus",2,1,0.5
"Carduus rivasgodayanus",1,1,1
"Carduus thracicus",1,1,1
"Carduus volutarioides",1,1,1
"Carex austroalpina",5,2,0.4
"Carex baldensis",4,2,0.5
"Carex curvula",11,1,0.0909090909090909
"Carex × derelicta",9,1,0.111111111111111
"Carex durieui",2,1,0.5
"Carex foetida",6,1,0.166666666666667
"Carex fritschii",8,3,0.375
"Carex furva",2,1,0.5
"Carex lainzii",1,1,1
"Carex markgrafii",1,1,1
"Carex parviflora",11,2,0.181818181818182
"Carex perraudieriana",1,1,1
"Carex pseudobrizoides",8,4,0.5
"Carex randalpina",6,2,0.333333333333333
"Carex repens",8,3,0.375
"Carex trinervis",8,3,0.375
"Carlina acanthifolia",4,2,0.5
"Carlina onopordifolia",8,2,0.25
"Caropsis verticillatoinundata",3,2,0.666666666666667
"Carthamus carduncellus",3,2,0.666666666666667
"Castrilanthemum debeauxii",1,1,1
"Centaurea achaia",1,1,1
"Centaurea achtarovii",1,1,1
"Centaurea aetaliae",1,1,1
"Centaurea aetolica",1,1,1
"Centaurea akamantis",1,1,1
"Centaurea alba",3,2,0.666666666666667
"Centaurea albertii",1,1,1
"Centaurea amblensis",2,1,0.5
"Centaurea appendicata",1,1,1
"Centaurea attica",1,1,1
"Centaurea avilae",1,1,1
"Centaurea baldaccii",1,1,1
"Centaurea bethurica",2,1,0.5
"Centaurea borjae",1,1,1
"Centaurea bovina",2,1,0.5
"Centaurea breviceps",1,1,1
"Centaurea busambarensis",1,1,1
"Centaurea calocephala",4,2,0.5
"Centaurea carratracensis",1,1,1
"Centaurea carystea",1,1,1
"Centaurea charrelii",1,1,1
"Centaurea cithaeronea",1,1,1
"Centaurea corensis",1,1,1
"Centaurea corymbosa",1,1,1
"Centaurea diomedea",1,1,1
"Centaurea dracunculifolia",2,1,0.5
"Centaurea erycina",1,1,1
"Centaurea exarata",2,2,1
"Centaurea finazzeri",3,1,0.333333333333333
"Centaurea francoi",1,1,1
"Centaurea gadorensis",1,1,1
"Centaurea × genesii-lopezii",1,1,1
"Centaurea glaberrima",2,1,0.5
"Centaurea gracilenta",2,2,1
"Centaurea graeca",3,1,0.333333333333333
"Centaurea grisebachii",3,1,0.333333333333333
"Centaurea gussonei",1,1,1
"Centaurea gymnocarpa",1,1,1
"Centaurea haenseleri",1,1,1
"Centaurea heldreichii",1,1,1
"Centaurea horrida",1,1,1
"Centaurea ilvensis",1,1,1
"Centaurea immanuelis-loewii",2,1,0.5
"Centaurea jankae",2,2,1
"Centaurea jordaniana",1,1,1
"Centaurea kerneriana",1,1,1
"Centaurea konkae",1,1,1
"Centaurea kosaninii",2,1,0.5
"Centaurea kunkelii",1,1,1
"Centaurea lainzii",1,1,1
"Centaurea lancifolia",1,1,1
"Centaurea leonidia",1,1,1
"Centaurea leucophaea",2,1,0.5
"Centaurea litochorea",1,1,1
"Centaurea macroptilon",8,1,0.125
"Centaurea magistrorum",1,1,1
"Centaurea mannagettae",2,1,0.5
"Centaurea margarita-alba",1,1,1
"Centaurea margaritacea",2,2,1
"Centaurea mariana",1,1,1
"Centaurea melanocephala",2,1,0.5
"Centaurea messenicolasiana",1,1,1
"Centaurea mollis",6,1,0.166666666666667
"Centaurea montis-borlae",1,1,1
"Centaurea murbeckii",1,1,1
"Centaurea napulifera",4,1,0.25
"Centaurea nemoralis",6,1,0.166666666666667
"Centaurea nevadensis",1,1,1
"Centaurea niederi",1,1,1
"Centaurea occasus",1,1,1
"Centaurea paczoskyi",1,1,1
"Centaurea panormitana",1,1,1
"Centaurea parilica",2,1,0.5
"Centaurea paxorum",1,1,1
"Centaurea peucedanifolia",1,1,1
"Centaurea pindicola",3,1,0.333333333333333
"Centaurea poculatoris",1,1,1
"Centaurea pontica",1,1,1
"Centaurea princeps",1,1,1
"Centaurea prolongoi",1,1,1
"Centaurea proto-margaritacea",1,1,1
"Centaurea pseudoaxillaris",1,1,1
"Centaurea pseudocadmea",1,1,1
"Centaurea pulvinata",1,1,1
"Centaurea rechingeri",1,1,1
"Centaurea reichenbachii",3,1,0.333333333333333
"Centaurea rhaetica",2,1,0.5
"Centaurea rumelica",3,1,0.333333333333333
"Centaurea rupestris",2,1,0.5
"Centaurea saccensis",1,1,1
"Centaurea sagredoi",1,1,1
"Centaurea saxifraga",1,1,1
"Centaurea scannensis",1,1,1
"Centaurea scillae",1,1,1
"Centaurea soskae",3,1,0.333333333333333
"Centaurea tauromenitana",1,1,1
"Centaurea tommasinii",1,1,1
"Centaurea triumfettii",6,3,0.5
"Centaurea ultreiae",1,1,1
"Centaurea variegata",3,1,0.333333333333333
"Centaurea varnensis",9,1,0.111111111111111
"Centaurea vlachorum",2,1,0.5
"Centaurea zuccariniana",2,1,0.5
"Centaurium chloodes",3,2,0.666666666666667
"Centaurium quadrifolium",2,1,0.5
"Centaurium somedanum",1,1,1
"Centranthus amazonum",1,1,1
"Centranthus sieberi",1,1,1
"Centranthus trinervis",1,1,1
"Cephalanthera cucullata",1,1,1
"Cephalaria flava",4,1,0.25
"Cephalaria pastricensis",2,2,1
"Cephalaria squamiflora",2,1,0.5
"Cerastium alsinifolium",1,1,1
"Cerastium carinthiacum",4,1,0.25
"Cerastium dinaricum",2,1,0.5
"Cerastium grandiflorum",2,1,0.5
"Cerastium illyricum",2,1,0.5
"Cerastium latifolium",8,2,0.25
"Cerastium moesiacum",3,1,0.333333333333333
"Cerastium neoscardicum",1,1,1
"Cerastium pospichalii",1,1,1
"Cerastium runemarkii",1,1,1
"Cerastium smolikanum",2,1,0.5
"Cerastium sventenii",1,1,1
"Cerastium uniflorum",8,2,0.25
"Ceratocapnos claviculata",10,2,0.2
"Chaenorhinum serpyllifolium",2,1,0.5
"Chaerophyllum coloratum",2,2,1
"Chaerophyllum creticum",1,1,1
"Chaerophyllum elegans",4,1,0.25
"Chaerophyllum heldreichii",2,1,0.5
"Chamaecytisus frivaldszkyanus",1,1,1
"Chamaecytisus heuffelii",6,1,0.166666666666667
"Chamaecytisus jankae",4,1,0.25
"Chamaecytisus kovacevii",1,1,1
"Chamaecytisus podolicus",2,1,0.5
"Chamaecytisus ratisbonensis",11,3,0.272727272727273
"Chamaecytisus rochelii",5,1,0.2
"Chamaecytisus tommasinii",3,2,0.666666666666667
"Chamaemespilus alpina",13,3,0.230769230769231
"Cheirolophus arboreus",1,1,1
"Cheirolophus arbutifolius",1,1,1
"Cheirolophus burchardii",1,1,1
"Cheirolophus canariensis",1,1,1
"Cheirolophus crassifolius",1,1,1
"Cheirolophus dariasii",1,1,1
"Cheirolophus duranii",1,1,1
"Cheirolophus falcisectus",1,1,1
"Cheirolophus ghomerythus",1,1,1
"Cheirolophus intybaceus",2,1,0.5
"Cheirolophus junonianus",1,1,1
"Cheirolophus metlesicsii",1,1,1
"Cheirolophus santos-abreui",1,1,1
"Cheirolophus satarataensis",1,1,1
"Cheirolophus tagananensis",1,1,1
"Cheirolophus uliginosus",2,1,0.5
"Cheirolophus webbianus",1,1,1
"Chenopodium striatiforme",5,1,0.2
"Cherleria baldaccii",3,1,0.333333333333333
"Cherleria capillacea",6,3,0.5
"Cherleria dirphya",1,1,1
"Cherleria handelii",1,1,1
"Cherleria wettsteinii",1,1,1
"Chondrilla chondrilloides",6,4,0.666666666666667
"Chondrilla urumoffii",3,1,0.333333333333333
"Chrysosplenium oppositifolium",16,1,0.0625
"Cicerbita pancicii",4,2,0.5
"Cicer canariense",1,1,1
"Cirsium acaule",17,2,0.117647058823529
"Cirsium boujarti",4,2,0.5
"Cirsium brachycephalum",5,2,0.4
"Cirsium dissectum",7,3,0.428571428571429
"Cirsium erisithales",14,1,0.0714285714285714
"Cirsium furiens",2,1,0.5
"Cirsium rosulatum",1,1,1
"Cirsium stojanovii",1,1,1
"Cirsium tuberosum",9,5,0.555555555555556
"Cirsium tymphaeum",3,1,0.333333333333333
"Cirsium waldsteinii",6,1,0.166666666666667
"Cirsium welwitschii",1,1,1
"Cistus asper",1,1,1
"Cistus chinamadensis",1,1,1
"Cistus grancanariae",1,1,1
"Cistus osbeckiifolius",1,1,1
"Cistus palmensis",1,1,1
"Cistus sintenisii",2,1,0.5
"Clematis elisabethae-carolae",1,1,1
"Clinopodium albanicum",2,1,0.5
"Clinopodium album",4,1,0.25
"Clinopodium creticum",1,1,1
"Clinopodium frivaldszkyanum",1,1,1
"Clinopodium raimondoi",1,1,1
"Clinopodium rouyanum",1,1,1
"Clinopodium sandalioticum",1,1,1
"Clinopodium taygeteum",1,1,1
"Clypeola eriocarpa",1,1,1
"Cochlearia anglica",8,1,0.125
"Cochlearia bavarica",1,1,1
"Cochlearia polonica",1,1,1
"Cochlearia pyrenaica",12,8,0.666666666666667
"Cochlearia tatrae",2,1,0.5
"Coincya longirostra",1,1,1
"Colchicum arenarium",5,3,0.6
"Colchicum asteranthum",1,1,1
"Colchicum chimonanthum",1,1,1
"Colchicum doerfleri",4,1,0.25
"Colchicum haynaldii",5,1,0.2
"Colchicum hungaricum",3,2,0.666666666666667
"Colchicum macedonicum",2,1,0.5
