"species","no_countries","no_countries_threatened","percentage_threatened","redlistCategory"
"Alkanna sartoriana",1,1,1,NA
"Alkanna scardica",2,1,0.5,NA
"Alkanna stojanovii",1,1,1,NA
"Allium agrigentinum",1,1,1,"Endangered"
"Allium castellanense",1,1,1,"Vulnerable"
"Allium corsicum",1,1,1,"Critically Endangered"
"Allium ericetorum",10,3,0.3,"Data Deficient"
"Allium exaltatum",1,1,1,NA
"Allium garganicum",1,1,1,"Endangered"
"Allium hemisphaericum",1,1,1,"Vulnerable"
"Allium julianum",1,1,1,NA
"Allium lojaconoi",1,1,1,"Near Threatened"
"Allium lopadusanum",1,1,1,"Data Deficient"
"Allium lusitanicum",18,5,0.277777777777778,NA
"Allium marathasicum",1,1,1,NA
"Allium melitense",1,1,1,NA
"Allium meteoricum",3,1,0.333333333333333,"Data Deficient"
"Allium nebrodense",1,1,1,"Vulnerable"
"Allium pendulinum",3,1,0.333333333333333,"Least Concern"
"Allium permixtum",1,1,1,"Data Deficient"
"Allium platakisii",1,1,1,NA
"Allium pruinatum",2,1,0.5,"Data Deficient"
"Allium rouyi",1,1,1,"Least Concern"
"Allium runemarkii",1,1,1,NA
"Allium samothracicum",1,1,1,NA
"Allium schmitzii",2,2,1,"Vulnerable"
"Allium suaveolens",9,5,0.555555555555556,"Least Concern"
"Althenia filiformis",3,1,0.333333333333333,NA
"Alyssum akamasicum",1,1,1,NA
"Alyssum flexicaule",1,1,1,NA
"Alyssum fragillimum",1,1,1,NA
"Alyssum gadorense",1,1,1,NA
"Alyssum idaeum",1,1,1,NA
"Alyssum lassiticum",1,1,1,NA
"Alyssum loiseleurii",2,1,0.5,NA
"Alyssum moellendorfianum",1,1,1,NA
"Alyssum montanum",6,4,0.666666666666667,NA
"Alyssum nevadense",1,1,1,NA
"Alyssum orbelicum",1,1,1,NA
"Alyssum ovirense",3,1,0.333333333333333,NA
"Alyssum pulvinare",4,1,0.25,NA
"Alyssum rhodanense",1,1,1,NA
"Alyssum smolikanum",2,1,0.5,NA
"Alyssum sphacioticum",1,1,1,NA
"Alyssum tenium",1,1,1,NA
"Alyssum wierzbickii",1,1,1,NA
"Alyssum wulfenianum",2,1,0.5,NA
"Amphoricarpos autariatus",1,1,1,NA
"Amphoricarpos neumayerianus",1,1,1,NA
"Anagyris latifolia",1,1,1,"Endangered"
"Anarrhinum bellidifolium",4,1,0.25,NA
"Anchusa crispa",2,2,1,"Endangered"
"Anchusa littorea",2,1,0.5,NA
"Anchusa puechii",2,2,1,NA
"Anchusa samothracica",1,1,1,NA
"Anchusa sardoa",2,1,0.5,NA
"Androcymbium hierrense",1,1,1,NA
"Androcymbium psammophilum",1,1,1,"Vulnerable"
"Androsace adfinis",2,1,0.5,NA
"Androsace brevis",2,1,0.5,NA
"Androsace cylindrica",2,1,0.5,"Least Concern"
"Androsace halleri",2,1,0.5,NA
"Androsace helvetica",6,1,0.166666666666667,NA
"Androsace lactea",9,2,0.222222222222222,NA
"Androsace mathildae",2,1,0.5,"Data Deficient"
"Androsace obtusifolia",9,3,0.333333333333333,NA
"Androsace rioxana",1,1,1,NA
"Andryala laevitomentosa",1,1,1,NA
"Andryala ragusina",3,2,0.666666666666667,NA
"Antennaria carpatica",4,1,0.25,NA
"Antennaria nordhageniana",2,2,1,NA
"Anthemis aeolica",1,1,1,NA
"Anthemis argyrophylla",1,1,1,NA
"Anthemis bourgei",1,1,1,NA
"Anthemis funkii",1,1,1,NA
"Anthemis glaberrima",1,1,1,"Critically Endangered"
"Anthemis ismelia",1,1,1,NA
"Anthemis jordanovii",1,1,1,NA
"Anthemis macedonica",3,2,0.666666666666667,NA
"Anthemis muricata",1,1,1,NA
"Anthemis orbelica",3,1,0.333333333333333,NA
"Anthemis pignattiorum",1,1,1,NA
"Anthemis regis-borisii",1,1,1,NA
"Anthemis rumelica",1,1,1,NA
"Anthemis samariensis",1,1,1,NA
"Anthemis virescens",1,1,1,NA
"Anthriscus nitida",15,1,0.0666666666666667,NA
"Anthyllis aurea",4,1,0.25,NA
"Anthyllis rupestris",1,1,1,NA
"Antirrhinum charidemi",1,1,1,"Critically Endangered"
"Antirrhinum latifolium",3,1,0.333333333333333,NA
"Antirrhinum lopesianum",2,2,1,"Endangered"
"Antirrhinum microphyllum",1,1,1,NA
"Antirrhinum pertegasii",1,1,1,NA
"Antirrhinum rothmaleri",1,1,1,NA
"Antirrhinum valentinum",1,1,1,NA
"Aposeris foetida",13,1,0.0769230769230769,NA
"Aquilegia barbaricina",1,1,1,"Critically Endangered"
"Aquilegia champagnatii",1,1,1,NA
"Aquilegia cremnophila",1,1,1,NA
"Aquilegia dinarica",2,2,1,NA
"Aquilegia einseleana",5,2,0.4,NA
"Aquilegia grata",1,1,1,NA
"Aquilegia kitaibelii",1,1,1,"Data Deficient"
"Aquilegia nigricans",6,1,0.166666666666667,"Data Deficient"
"Aquilegia nugorensis",1,1,1,NA
"Aquilegia nuragica",1,1,1,"Critically Endangered"
"Aquilegia ottonis",2,1,0.5,NA
"Aquilegia transsilvanica",2,1,0.5,NA
"Arabidopsis croatica",1,1,1,NA
"Arabis beirana",1,1,1,NA
"Arabis bryoides",3,2,0.666666666666667,NA
"Arabis collina",10,3,0.3,NA
"Arabis juressi",2,1,0.5,NA
"Arabis kennedyae",1,1,1,NA
"Arabis margaritae",1,1,1,NA
"Arabis procurrens",5,1,0.2,NA
"Arabis scabra",4,2,0.5,NA
"Arabis scopoliana",3,1,0.333333333333333,"Data Deficient"
"Arabis serpyllifolia",4,1,0.25,NA
"Arabis soyeri",2,1,0.5,NA
"Arenaria aggregata",3,1,0.333333333333333,NA
"Arenaria arcuatociliata",1,1,1,NA
"Arenaria ciliata",13,2,0.153846153846154,NA
"Arenaria conferta",3,1,0.333333333333333,NA
"Arenaria cretica",3,2,0.666666666666667,NA
"Arenaria delaguardiae",1,1,1,NA
"Arenaria favargeri",1,1,1,NA
"Arenaria funiculata",1,1,1,NA
"Arenaria gothica",2,1,0.5,NA
"Arenaria leucadia",1,1,1,NA
"Arenaria ligericina",2,1,0.5,NA
"Arenaria nevadensis",1,1,1,"Critically Endangered"
"Arenaria racemosa",1,1,1,NA
"Arenaria tomentosa",1,1,1,NA
"Argyranthemum callichrysum",1,1,1,NA
"Argyranthemum coronopifolium",1,1,1,NA
"Argyranthemum escarrei",1,1,1,NA
"Argyranthemum filifolium",1,1,1,NA
"Argyranthemum lemsii",1,1,1,NA
"Argyranthemum lidii",1,1,1,"Endangered"
"Argyranthemum maderense",1,1,1,NA
"Argyranthemum sundingii",1,1,1,NA
"Argyranthemum sventenii",1,1,1,NA
"Argyranthemum webbii",1,1,1,NA
"Argyranthemum winteri",1,1,1,"Critically Endangered"
"Aria busambarensis",1,1,1,NA
"Aria cheddarensis",1,1,1,NA
"Aria collina",4,1,0.25,NA
"Aria cucullifera",2,1,0.5,NA
"Aria danubialis",4,2,0.5,NA
"Aria eminens",1,1,1,NA
"Aria eminentiformis",1,1,1,NA
"Aria eminentoides",1,1,1,NA
"Aria evansii",1,1,1,NA
"Aria graeca",10,1,0.1,NA
"Aria greenii",1,1,1,NA
"Aria herefordensis",1,1,1,NA
"Aria hibernica",1,1,1,NA
"Aria leighensis",1,1,1,NA
"Aria × leptophylla",1,1,1,NA
"Aria madoniensis",1,1,1,NA
"Aria margaretae",1,1,1,NA
"Aria obtusifolia",2,1,0.5,NA
"Aria pontis-satanae",1,1,1,NA
"Aria richii",1,1,1,NA
"Aria rupicola",6,4,0.666666666666667,NA
"Aria rupicoloides",1,1,1,NA
"Aria saxicola",1,1,1,NA
"Aria spectans",1,1,1,NA
"Aria subdanubialis",2,1,0.5,NA
"Aria thaiszii",2,1,0.5,NA
"Aria thayensis",2,1,0.5,NA
"Aria ulmifolia",1,1,1,NA
"Aria vexans",1,1,1,NA
"Aria whiteana",1,1,1,NA
"Aria wilmottiana",1,1,1,NA
"Aria zolyomii",2,1,0.5,NA
"Arisarum proboscideum",2,1,0.5,"Least Concern"
"Aristolochia clusii",2,2,1,NA
"Aristolochia merxmuelleri",2,2,1,NA
"Aristolochia nardiana",2,1,0.5,NA
"Aristolochia sicula",1,1,1,NA
"Armeria alpina",8,1,0.125,NA
"Armeria arcuata",1,1,1,NA
"Armeria arenaria",6,2,0.333333333333333,NA
"Armeria beirana",2,1,0.5,NA
"Armeria belgenciensis",1,1,1,NA
"Armeria berlengensis",1,1,1,"Critically Endangered"
"Armeria caballeroi",1,1,1,NA
"Armeria colorata",1,1,1,NA
"Armeria fontqueri",1,1,1,NA
"Armeria gaditana",2,2,1,NA
"Armeria helodes",1,1,1,"Critically Endangered"
"Armeria johnsenii",1,1,1,NA
"Armeria macrophylla",2,2,1,NA
"Armeria merinoi",1,1,1,NA
"Armeria neglecta",1,1,1,"Data Deficient"
"Armeria pinifolia",1,1,1,NA
"Armeria pocutica",2,1,0.5,NA
"Armeria pseudarmeria",1,1,1,"Endangered"
"Armeria pubigera",2,1,0.5,NA
"Armeria pungens",4,1,0.25,NA
"Armeria quichiotis",1,1,1,NA
"Armeria rothmaleri",1,1,1,NA
"Armeria sampaioi",1,1,1,"Vulnerable"
"Armeria saviana",1,1,1,NA
"Armeria splendens",1,1,1,NA
"Armeria velutina",2,1,0.5,NA
"Armoracia macrocarpa",5,3,0.6,"Data Deficient"
"Arrhenatherum pallens",1,1,1,NA
"Artemisia alba",12,3,0.25,NA
"Artemisia atrata",3,2,0.666666666666667,NA
"Artemisia eriantha",10,3,0.3,"Least Concern"
"Artemisia granatensis",1,1,1,"Endangered"
"Artemisia insipida",1,1,1,"Critically Endangered"
"Artemisia molinieri",1,1,1,"Endangered"
"Artemisia nivalis",1,1,1,NA
"Artemisia pancicii",3,2,0.666666666666667,"Data Deficient"
"Artemisia pedemontana",5,2,0.4,NA
"Arum nigrum",2,1,0.5,NA
"Arum purpureospathum",1,1,1,"Vulnerable"
"Arundo donaciformis",2,1,0.5,NA
"Asparagus fallax",1,1,1,"Endangered"
"Asparagus maritimus",7,1,0.142857142857143,"Data Deficient"
"Asparagus prostratus",8,2,0.25,NA
"Asperula baenitzii",1,1,1,NA
"Asperula baldaccii",1,1,1,NA
"Asperula brachyphylla",1,1,1,NA
"Asperula chlorantha",2,1,0.5,NA
"Asperula crassifolia",1,1,1,NA
"Asperula hercegovina",1,1,1,NA
"Asperula malevonensis",1,1,1,NA
"Asperula naufraga",1,1,1,NA
"Asperula neilreichii",4,1,0.25,NA
"Asperula peloritana",1,1,1,NA
"Asperula scutellaris",3,2,0.666666666666667,NA
"Asperula suberosa",2,1,0.5,NA
"Asperula wettsteinii",1,1,1,NA
"Asphodelus albus",6,3,0.5,NA
"Asphodelus bento-rainhae",2,1,0.5,"Vulnerable"
"Asplenium balearicum",3,2,0.666666666666667,"Near Threatened"
"Asplenium costei",2,1,0.5,NA
"Asplenium creticum",1,1,1,"Vulnerable"
"Asplenium seelosii",5,1,0.2,NA
"Astragalus agraniotii",1,1,1,NA
"Astragalus aquilanus",1,1,1,"Data Deficient"
"Astragalus australis",12,2,0.166666666666667,NA
"Astragalus baionensis",2,1,0.5,NA
"Astragalus baldaccii",2,1,0.5,NA
"Astragalus cavanillesii",1,1,1,"Critically Endangered"
"Astragalus devesae",1,1,1,NA
"Astragalus drupaceus",1,1,1,"Endangered"
"Astragalus fialae",2,1,0.5,NA
"Astragalus gennarii",1,1,1,NA
"Astragalus gines-lopezii",1,1,1,NA
"Astragalus hypoglottis",6,1,0.166666666666667,NA
"Astragalus kamarinensis",1,1,1,NA
"Astragalus laconicus",1,1,1,NA
"Astragalus leontinus",4,2,0.5,"Least Concern"
"Astragalus maritimus",1,1,1,"Critically Endangered"
"Astragalus nitidiflorus",1,1,1,"Extinct"
"Astragalus oxyglottis",2,1,0.5,NA
"Astragalus penduliflorus",12,6,0.5,NA
"Astragalus peterfii",1,1,1,NA
"Astragalus pseudopurpureus",1,1,1,NA
"Astragalus raphaelis",1,1,1,NA
"Astragalus roemeri",1,1,1,NA
"Astragalus setosulus",1,1,1,NA
"Astragalus subuliformis",2,1,0.5,NA
"Astragalus tegulensis",1,1,1,NA
"Astragalus thermensis",1,1,1,NA
"Astragalus tragacantha",3,3,1,NA
"Astragalus tremolsianus",1,1,1,"Critically Endangered"
"Astragalus verrucosus",1,1,1,"Critically Endangered"
"Astragalus vesicarius",12,4,0.333333333333333,NA
"Astragalus wilmottianus",1,1,1,NA
"Astrantia bavarica",4,1,0.25,NA
"Astrantia carniolica",3,1,0.333333333333333,NA
"Asyneuma anthericoides",4,1,0.25,NA
"Asyneuma canescens",8,1,0.125,NA
"Asyneuma giganteum",1,1,1,"Vulnerable"
"Athamanta cortiana",1,1,1,"Critically Endangered"
"Athamanta densa",2,1,0.5,NA
"Athamanta hispanica",1,1,1,NA
"Athamanta turbith",3,2,0.666666666666667,NA
"Atocion lerchenfeldianum",5,1,0.2,NA
"Atractylis arbuscula",1,1,1,"Endangered"
"Atractylis preauxiana",1,1,1,"Endangered"
"Atriplex lanfrancoi",1,1,1,"Endangered"
"Aubrieta columnae",3,3,1,NA
"Aubrieta erubescens",1,1,1,NA
"Aubrieta gracilis",2,1,0.5,NA
"Aurinia rupestris",4,1,0.25,NA
"Aurinia sinuata",5,1,0.2,NA
"Avellara fistulosa",2,2,1,"Critically Endangered"
"Avena canariensis",1,1,1,"Least Concern"
"Balkana spergulifolia",2,1,0.5,NA
"Barbarea balcana",4,2,0.5,"Least Concern"
"Barbarea bosniaca",1,1,1,"Data Deficient"
"Barbarea longirostris",4,1,0.25,"Data Deficient"
"Bellevalia brevipedicellata",1,1,1,NA
"Bellevalia hyacinthoides",2,1,0.5,NA
"Bellevalia sitiaca",1,1,1,NA
"Bellevalia webbiana",1,1,1,"Endangered"
"Bellis cordifolia",1,1,1,NA
"Bellium artrutxense",1,1,1,NA
"Bellium crassifolium",1,1,1,NA
"Bencomia brachystachya",1,1,1,"Critically Endangered"
"Bencomia exstipulata",1,1,1,"Vulnerable"
"Bencomia sphaerocarpa",1,1,1,"Critically Endangered"
"Berberis aetnensis",4,2,0.5,NA
"Bethencourtia hermosae",1,1,1,NA
"Betonica alopecuros",9,1,0.111111111111111,NA
"Betonica bulgarica",1,1,1,NA
"Betonica hirsuta",5,1,0.2,NA
"Betonica scardica",4,1,0.25,NA
"Betula klokovii",1,1,1,NA
"Biarum mendax",2,1,0.5,"Near Threatened"
"Biscutella cichoriifolia",5,1,0.2,NA
"Biscutella divionensis",1,1,1,NA
"Biscutella ebusitana",1,1,1,NA
"Biscutella hozensis",1,1,1,NA
"Biscutella incana",1,1,1,NA
"Biscutella mollis",1,1,1,NA
"Biscutella rotgesii",1,1,1,"Critically Endangered"
"Bituminaria basaltica",1,1,1,NA
"Bonannia graeca",2,1,0.5,NA
"Borago morisiana",1,1,1,NA
"Borago pygmaea",3,1,0.333333333333333,NA
"Bornmuellera baldaccii",2,1,0.5,NA
"Bornmuellera dieckii",1,1,1,NA
"Brassica bourgeaui",1,1,1,NA
"Brassica incana",5,2,0.4,"Data Deficient"
"Brassica macrocarpa",1,1,1,"Critically Endangered"
"Brassica montana",3,1,0.333333333333333,"Least Concern"
"Brassica nivalis",2,1,0.5,"Least Concern"
"Brassica repanda",2,2,1,NA
"Brimeura duvigneaudii",1,1,1,"Critically Endangered"
"Brimeura fastigiata",3,1,0.333333333333333,NA
"Bromus bromoideus",5,5,1,"Extinct in the Wild"
"Bromus cabrerensis",1,1,1,NA
"Bromus interruptus",2,2,1,"Extinct in the Wild"
"Bromus moellendorffianus",1,1,1,NA
"Bromus pannonicus",6,1,0.166666666666667,NA
"Bromus pseudosecalinus",5,1,0.2,NA
"Bubon arachnoideum",1,1,1,NA
"Bupleurum acutifolium",2,2,1,NA
"Bupleurum aira",1,1,1,NA
"Bupleurum baldense",5,1,0.2,NA
"Bupleurum capillare",1,1,1,"Vulnerable"
"Bupleurum dianthifolium",1,1,1,"Critically Endangered"
"Bupleurum elatum",1,1,1,"Critically Endangered"
"Bupleurum handiense",1,1,1,"Endangered"
"Bupleurum kakiskalae",1,1,1,"Critically Endangered"
"Bupleurum karglii",3,1,0.333333333333333,NA
"Bupleurum pachnospermum",7,1,0.142857142857143,NA
"Bupleurum ranunculoides",12,3,0.25,NA
"Bupleurum rollii",1,1,1,NA
"Bupleurum virgatum",4,1,0.25,NA
"Bystropogon odoratissimus",1,1,1,NA
"Bystropogon wildpretii",1,1,1,NA
"Calamagrostis × baltica",10,1,0.1,NA
"Calamagrostis varia",15,2,0.133333333333333,"Least Concern"
"Calamagrostis villosa",12,1,0.0833333333333333,NA
"Callianthemum coriandrifolium",11,5,0.454545454545455,NA
"Callianthemum kernerianum",1,1,1,"Critically Endangered"
"Campanula aizoides",1,1,1,NA
"Campanula albanica",3,2,0.666666666666667,NA
"Campanula asperuloides",1,1,1,NA
"Campanula barbata",9,3,0.333333333333333,NA
"Campanula baumgartenii",4,2,0.5,NA
"Campanula bertolae",2,1,0.5,NA
"Campanula bohemica",2,2,1,"Near Threatened"
"Campanula cabezudoi",1,1,1,NA
"Campanula cochleariifolia",7,1,0.142857142857143,NA
"Campanula comosiformis",1,1,1,NA
"Campanula crassipes",2,1,0.5,NA
"Campanula foliosa",4,1,0.25,NA
"Campanula fritschii",2,1,0.5,NA
"Campanula garganica",4,1,0.25,NA
"Campanula hawkinsiana",2,1,0.5,NA
"Campanula herminii",2,1,0.5,NA
"Campanula hierapetrae",1,1,1,NA
"Campanula jaubertiana",2,1,0.5,NA
"Campanula jordanovii",2,1,0.5,NA
"Campanula merxmuelleri",1,1,1,NA
"Campanula moesiaca",4,1,0.25,NA
"Campanula orphanidea",2,1,0.5,NA
"Campanula pangea",1,1,1,NA
"Campanula papillosa",1,1,1,NA
"Campanula portenschlagiana",5,1,0.2,NA
"Campanula primulifolia",2,2,1,NA
"Campanula reiseri",1,1,1,NA
"Campanula romanica",1,1,1,NA
"Campanula sabatia",1,1,1,"Vulnerable"
"Campanula samothracica",1,1,1,NA
"Campanula saxatilis",1,1,1,NA
"Campanula serrata",4,1,0.25,"Least Concern"
"Campanula thyrsoides",7,2,0.285714285714286,NA
"Campanula transsilvanica",2,1,0.5,NA
"Campanula versicolor",4,1,0.25,NA
"Campanula waldsteiniana",1,1,1,NA
"Camphorosma annua",8,3,0.375,NA
"Camptoloma canariense",1,1,1,NA
"Cardamine apennina",1,1,1,NA
"Cardamine asarifolia",4,1,0.25,NA
"Cardamine castellana",2,1,0.5,NA
"Cardamine enneaphyllos",9,1,0.111111111111111,NA
"Cardamine glanduligera",7,1,0.142857142857143,NA
"Cardamine glauca",6,1,0.166666666666667,NA
"Cardamine granulosa",1,1,1,NA
"Cardamine kitaibelii",4,2,0.5,NA
"Cardamine maritima",2,1,0.5,NA
"Cardamine silana",1,1,1,NA
"Cardamine trifolia",10,3,0.3,NA
"Cardamine waldsteinii",3,1,0.333333333333333,NA
"Carduncellus dianius",1,1,1,NA
"Carduncellus hispanicus",2,1,0.5,NA
"Carduus bourgaei",1,1,1,NA
"Carduus collinus",7,3,0.428571428571429,NA
"Carduus defloratus",8,1,0.125,NA
"Carduus fasciculiflorus",2,1,0.5,NA
"Carduus kerneri",5,1,0.2,NA
"Carduus lobulatus",2,2,1,NA
"Carduus ramosissimus",2,1,0.5,NA
"Carduus rivasgodayanus",1,1,1,NA
"Carduus thracicus",1,1,1,NA
"Carduus volutarioides",1,1,1,NA
"Carex austroalpina",5,2,0.4,NA
"Carex baldensis",4,2,0.5,NA
"Carex curvula",11,1,0.0909090909090909,NA
"Carex × derelicta",9,1,0.111111111111111,NA
"Carex durieui",2,1,0.5,NA
"Carex foetida",6,1,0.166666666666667,NA
"Carex fritschii",8,3,0.375,NA
"Carex furva",2,1,0.5,"Critically Endangered"
"Carex lainzii",1,1,1,"Endangered"
"Carex markgrafii",1,1,1,NA
"Carex parviflora",11,2,0.181818181818182,NA
"Carex perraudieriana",1,1,1,NA
"Carex pseudobrizoides",8,4,0.5,NA
"Carex randalpina",6,2,0.333333333333333,NA
"Carex repens",8,3,0.375,NA
"Carex trinervis",8,3,0.375,NA
"Carlina acanthifolia",4,2,0.5,NA
"Carlina onopordifolia",8,2,0.25,"Vulnerable"
"Caropsis verticillatoinundata",3,2,0.666666666666667,NA
"Carthamus carduncellus",3,2,0.666666666666667,NA
"Castrilanthemum debeauxii",1,1,1,NA
"Centaurea achaia",1,1,1,NA
"Centaurea achtarovii",1,1,1,NA
"Centaurea aetaliae",1,1,1,NA
"Centaurea aetolica",1,1,1,NA
"Centaurea akamantis",1,1,1,NA
"Centaurea alba",3,2,0.666666666666667,NA
"Centaurea albertii",1,1,1,NA
"Centaurea amblensis",2,1,0.5,NA
"Centaurea appendicata",1,1,1,NA
"Centaurea attica",1,1,1,NA
"Centaurea avilae",1,1,1,NA
"Centaurea baldaccii",1,1,1,NA
"Centaurea bethurica",2,1,0.5,NA
"Centaurea borjae",1,1,1,"Endangered"
"Centaurea bovina",2,1,0.5,NA
"Centaurea breviceps",1,1,1,NA
"Centaurea busambarensis",1,1,1,NA
"Centaurea calocephala",4,2,0.5,NA
"Centaurea carratracensis",1,1,1,NA
"Centaurea carystea",1,1,1,NA
"Centaurea charrelii",1,1,1,NA
"Centaurea cithaeronea",1,1,1,NA
"Centaurea corensis",1,1,1,"Critically Endangered"
"Centaurea corymbosa",1,1,1,"Vulnerable"
"Centaurea diomedea",1,1,1,NA
"Centaurea dracunculifolia",2,1,0.5,NA
"Centaurea erycina",1,1,1,NA
"Centaurea exarata",2,2,1,NA
"Centaurea finazzeri",3,1,0.333333333333333,NA
"Centaurea francoi",1,1,1,NA
"Centaurea gadorensis",1,1,1,"Vulnerable"
"Centaurea × genesii-lopezii",1,1,1,NA
"Centaurea glaberrima",2,1,0.5,NA
"Centaurea gracilenta",2,2,1,NA
"Centaurea graeca",3,1,0.333333333333333,NA
"Centaurea grisebachii",3,1,0.333333333333333,NA
"Centaurea gussonei",1,1,1,NA
"Centaurea gymnocarpa",1,1,1,"Endangered"
"Centaurea haenseleri",1,1,1,NA
"Centaurea heldreichii",1,1,1,"Critically Endangered"
"Centaurea horrida",1,1,1,"Endangered"
"Centaurea ilvensis",1,1,1,NA
"Centaurea immanuelis-loewii",2,1,0.5,"Vulnerable"
"Centaurea jankae",2,2,1,"Vulnerable"
"Centaurea jordaniana",1,1,1,NA
"Centaurea kerneriana",1,1,1,NA
"Centaurea konkae",1,1,1,NA
"Centaurea kosaninii",2,1,0.5,NA
"Centaurea kunkelii",1,1,1,NA
"Centaurea lainzii",1,1,1,NA
"Centaurea lancifolia",1,1,1,NA
"Centaurea leonidia",1,1,1,NA
"Centaurea leucophaea",2,1,0.5,NA
"Centaurea litochorea",1,1,1,NA
"Centaurea macroptilon",8,1,0.125,NA
"Centaurea magistrorum",1,1,1,NA
"Centaurea mannagettae",2,1,0.5,NA
"Centaurea margarita-alba",1,1,1,NA
"Centaurea margaritacea",2,2,1,NA
"Centaurea mariana",1,1,1,NA
"Centaurea melanocephala",2,1,0.5,NA
"Centaurea messenicolasiana",1,1,1,NA
"Centaurea mollis",6,1,0.166666666666667,NA
"Centaurea montis-borlae",1,1,1,NA
"Centaurea murbeckii",1,1,1,NA
"Centaurea napulifera",4,1,0.25,NA
"Centaurea nemoralis",6,1,0.166666666666667,NA
"Centaurea nevadensis",1,1,1,NA
"Centaurea niederi",1,1,1,"Vulnerable"
"Centaurea occasus",1,1,1,NA
"Centaurea paczoskyi",1,1,1,NA
"Centaurea panormitana",1,1,1,NA
"Centaurea parilica",2,1,0.5,NA
"Centaurea paxorum",1,1,1,NA
"Centaurea peucedanifolia",1,1,1,"Vulnerable"
"Centaurea pindicola",3,1,0.333333333333333,NA
"Centaurea poculatoris",1,1,1,NA
"Centaurea pontica",1,1,1,NA
"Centaurea princeps",1,1,1,"Endangered"
"Centaurea prolongoi",1,1,1,NA
"Centaurea proto-margaritacea",1,1,1,NA
"Centaurea pseudoaxillaris",1,1,1,NA
"Centaurea pseudocadmea",1,1,1,NA
